id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
74291;ArnonBezerra;Arnon Bezerra;ptb;CE;1;3;3;1;1;0;1;1;1;1;1;0;3;1;1;3;3;1;3;0
160541;ArthurLira;Arthur Lira;pp;AL;1;0;1;3;1;1;1;1;1;1;1;1;0;1;1;0;3;3;3;1
160600;ArthurOliveiraMaia;Arthur Oliveira Maia;solidaried;BA;1;3;1;1;1;1;1;1;1;1;3;1;NA;0;0;3;3;1;3;1
178847;ArthurVirgilioBisneto;Arthur Virgílio Bisneto;psdb;AM;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1
159237;AssisCarvalho;Assis Carvalho;pt;PI;1;1;1;0;3;3;0;0;0;0;0;1;3;1;1;1;0;3;0;0
74378;AssisdoCouto;Assis do Couto;pt;PR;1;0;1;NA;0;0;0;0;0;0;0;1;1;1;3;1;0;1;1;0
74090;AtilaLins;Átila Lins;psd;AM;3;1;1;1;1;1;1;3;1;3;1;1;0;1;1;3;3;1;1;1
74459;AtilaLira;Átila Lira;psb;PI;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1
73655;AugustoCarvalho;Augusto Carvalho;solidaried;DF;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1
160665;AugustoCoutinho;Augusto Coutinho;solidaried;PE;1;3;1;1;1;1;1;1;1;0;1;0;0;0;0;3;3;1;3;1
160512;Aureo;Aureo;solidaried;RJ;1;1;1;1;0;0;1;1;1;0;3;1;1;0;0;3;3;1;3;1
69871;Bacelar;Bacelar;ptn;BA;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;0
178975;BaleiaRossi;Baleia Rossi;pmdb;SP;1;1;1;3;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1
178834;Bebeto;Bebeto;psb;BA;3;3;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;3;1;0
73701;BeneditadaSilva;Benedita da Silva;pt;RJ;0;1;1;3;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
74535;BenitoGama;Benito Gama;ptb;BA;1;1;1;1;1;1;1;1;1;1;3;1;0;0;0;1;0;1;0;1
74040;BenjaminMaranhao;Benjamin Maranhão;solidaried;PB;1;1;1;1;1;1;1;1;1;0;1;1;NA;0;0;3;3;1;3;1
178915;BetinhoGomes;Betinho Gomes;psdb;PE;1;1;1;NA;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1
141335;BetoFaro;Beto Faro;pt;PA;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
73437;BetoMansur;Beto Mansur;prb;SP;1;1;1;1;1;1;1;1;1;0;1;1;0;3;1;3;3;3;3;1
178948;BetoRosado;Beto Rosado;pp;RN;1;1;1;3;1;1;1;1;1;0;1;1;0;3;0;1;0;1;1;1
178906;BetoSalame;Beto Salame;pros;PA;3;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0
141513;BilacPinto;Bilac Pinto;pr;MG;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1
160538;BohnGass;Bohn Gass;pt;RS;0;NA;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
74650;BonifaciodeAndrada;Bonifácio de Andrada;psdb;MG;1;1;0;1;1;1;1;1;3;1;1;1;1;3;0;0;0;1;0;1
160589;BrunaFurlan;Bruna Furlan;psdb;SP;1;3;3;1;1;1;1;1;1;1;1;1;1;3;0;1;0;1;0;1
178999;Brunny;Brunny;ptc;MG;0;1;3;0;1;1;3;0;0;0;0;3;1;1;1;0;0;1;0;0
141394;BrunoAraujo;Bruno Araújo;psdb;PE;1;1;1;1;1;1;1;1;3;1;1;1;NA;3;0;1;0;1;0;1
178976;BrunoCovas;Bruno Covas;psdb;SP;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1
178938;CaboDaciolo;Cabo Daciolo;s.part.;RJ;0;3;0;3;0;0;0;3;0;3;0;1;3;0;0;0;1;3;0;1
